Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20160342343,A1,"Method and apparatus for controlling data migration in multi-channel memory device","Mediatek Inc.",https://patentscout.innography.com/share/GY-ubj9C_2q3H9DG8sp3Sg%3D%3D,G06F00306000,G06F0003064700,711004000,2016-11-24,2018-06-19,2016-11-24,2015-05-18,2015-06-10,2018-06-19,2016-11-24,2016-11-24,"Yen, Hsueh-bing"
US20180267890,A1,"Method and apparatus for controlling data migration in multi-channel memory device","Mediatek Inc.",https://patentscout.innography.com/share/bKe0f52zH2SgBJ23d2nmMw%3D%3D,G06F01202000,G06F0003064700,345543000,2018-09-20,,2018-09-20,2015-05-18,2018-05-18,2019-02-01,2016-11-24,2016-11-24,"Yen, Hsueh-bing"
US10915458,B1,"Configuration of isolated regions or zones based upon underlying memory geometry","Radian Memory Systems LLC",https://patentscout.innography.com/share/XN83txODVjcsHgAIVuftVw%3D%3D,G06F00306000,G06F0012100900,711004000,,2021-02-09,2021-02-09,2014-09-09,2020-02-03,2036-12-13,2017-01-10,2014-07-31,"Lercari, Robert|Chen, Alan|Jadon, Mike|Robertson, Craig|Kuzmin, Andrey V."
US10176113,B2,"Scalable indexing","Hewlett Packard Enterprise Development Lp",https://patentscout.innography.com/share/QcWCmhgph8FWwSMisjfydg%3D%3D,G06F01202000,G06F0012105400,707000000,2015-02-05,2019-01-08,2019-01-08,2009-06-26,2014-10-21,2031-10-27,2010-12-29,2010-12-29,"Bowden, Paul|Beaverson, Arthur J."
US10884654,B2,"System and method for quality of service assurance of multi-stream scenarios in a hard disk drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/EX7ZssKvASwJDs62Zzt2gA%3D%3D,G06F01300000,G06F0003061000,345540000,2020-07-02,2021-01-05,2021-01-05,2018-12-31,2018-12-31,2039-03-16,2020-07-02,2020-07-02,"Li, Shu|Huo, Jianjian"
CN113448517,A,"A solid hard disk writing block data processing method, device, device and medium","Shandong Yingxin Computer Technology Co., Ltd.",https://patentscout.innography.com/share/1G0KsClR-pidT9meggJ25Q%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-28,2022-08-09,2021-09-28,2021-06-04,2021-06-04,2022-08-09,2021-09-28,2021-09-28,"Zhao, Changlei"
CN113448517,B,"A solid hard disk writing block data processing method, device, device and medium","Shandong Yingxin Computer Technology Co., Ltd.",https://patentscout.innography.com/share/CbcC71QLH-pZvWTpr4zRZw%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-28,2022-08-09,2022-08-09,2021-06-04,2021-06-04,2041-06-03,2021-09-28,2021-09-28,"Zhao, Changlei"
US9436406,B2,"Migration decision window selection based on hotspot characteristics","International Business Machines Corporation",https://patentscout.innography.com/share/_vdf5f78kvTEoZf_kfkMxQ%3D%3D,G06F00306000,G06F0003064900,711004000,2016-01-07,2016-09-06,2016-09-06,2014-07-07,2014-07-07,2020-09-06,2016-01-07,2016-01-07,"Chiu, Lawrence Y.|Seshadri, Sangeetha|Zhou, Yang"
US9841906,B2,"Zone forward drive management","Seagate Technology LLC",https://patentscout.innography.com/share/Gqqt5nWKalQBYpkreQcd9g%3D%3D,G06F01200000,G06F0003061100,710244000,2017-08-03,2017-12-12,2017-12-12,2016-02-01,2016-02-01,2036-05-14,2017-08-03,2017-08-03,"Sokolov, Daniel J.|Weikal, Adam J.|Prabhakar, Monish S."
US11507507,B2,"System and method of backing up data from a volatile memory medium to a non-volatile memory medium","Dell Products L.p.",https://patentscout.innography.com/share/VuVzpsWjtuJSVLAXVne1Dg%3D%3D,G06F01208040,G06F0012080400,713340000,2022-01-27,2022-11-22,2022-11-22,2020-07-24,2020-07-24,2040-09-19,2022-01-27,2022-01-27,"Dorsey, Kurtis Wayne"
CN107209717,A,"The memory management of the memory element","Qualcomm Inc",https://patentscout.innography.com/share/fZk1keVHTg0x84TCyKAIDg%3D%3D,G06F01202000,G06F0012024600,345543000,2017-09-26,,2017-09-26,2015-02-13,2016-01-12,2024-03-29,2016-08-18,2016-08-18,"Gil, Amit|Shacham, Assaf"
US11782624,B2,"Worflow-based partition allocation","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/B-YnvdUiTYE-KPAnqTssYg%3D%3D,G06F00306000,G06F0003061000,711004000,2022-04-07,2023-10-10,2023-10-10,2020-10-06,2021-02-04,2041-02-04,2022-04-07,2022-04-07,"Yang, Zhengyu|Davis, Bridget Molly|Kim, Daniel|Wong, Jeffrey Chun Hung|Maruf, Adnan"
CN104111894,A,"Improve the partition order read/write performance of the method and its system","Ramaxel Technology (shenzhen) Co., Ltd.",https://patentscout.innography.com/share/414VKpqiBGYkWoapQjUOfg%3D%3D,G06F01202000,G06F0012020000,345543000,2014-10-22,,2014-10-22,2014-07-17,2014-07-17,2018-02-09,2014-10-22,2014-10-22,"Zhou, Donghua|Wang, Meng|Xu, Weihua"
US11416163,B2,"Systems and methods for dynamic logical block address distribution between multicores","Sk Hynix Inc.",https://patentscout.innography.com/share/w7OK4yRTBbFZ4PM7gL78uw%3D%3D,G06F00306000,G06F0012024600,711004000,2021-10-14,2022-08-16,2022-08-16,2020-04-09,2020-04-09,2040-05-09,2021-10-14,2021-10-14,"Vlasov, Teodor|Yaromenka, Yauheni"
US11074173,B1,"Method and system to determine an optimal over-provisioning ratio","Lightbits Labs Ltd.",https://patentscout.innography.com/share/49CBBhwo36kcX0gToUl8Zg%3D%3D,G06F01202000,G06F0003061600,345543000,,2021-07-27,2021-07-27,2018-04-26,2019-06-24,2038-04-26,2021-07-27,2020-04-21,"Gordon, Abel Alkon"
CN110109621,A,"A method for improving performance and service life of solid hard disk array system","Linewell Software Co., Ltd.",https://patentscout.innography.com/share/iu_6tzA9gcM8exJvj4kqYA%3D%3D,G06F00306000,G06F0003060400,711004000,2019-08-09,2022-07-12,2019-08-09,2019-04-28,2019-04-28,2022-07-12,2019-08-09,2019-08-09,"Pan, Yubiao|Hou, Jigong|Lin, Yunguo|Wen, Tingxi"
US20200210100,A1,"System and method for quality of service assurance of multi-stream scenarios in a hard disk drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/i2VJZvGu4kYoLdw1Gw62ww%3D%3D,G06F00306000,G06F0003061000,711004000,2020-07-02,2021-01-05,2020-07-02,2018-12-31,2018-12-31,2021-01-05,2020-07-02,2020-07-02,"Li, Shu|Huo, Jianjian"
CN111506264,A,"Virtual multi-channel sdram access method supporting flexible block access","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/sp_gRcdySjwvq5g_grl3VQ%3D%3D,G06F00306000,G06F0003064000,711004000,2020-08-07,2021-07-06,2020-08-07,2020-04-10,2020-04-10,2021-07-06,2020-08-07,2020-08-07,"Yan, Luxin|Guo, Chaole|Chen, Liqun|Yan, Zhang|Wang, Zhenyu|Cui, Yubin|Zhong, Sheng"
KR20230004075,A,"Data processing system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/U8ygJhM8sNLk9wKM4N0rwQ%3D%3D,G06F01202000,G06F0012024600,345543000,2023-01-06,,2023-01-06,2021-06-30,2021-06-30,2041-06-30,2022-12-30,2022-12-30,"Byun, Eu Joon"
US10282288,B2,"Memory system and method for controlling nonvolatile memory","Kioxia Corporation",https://patentscout.innography.com/share/v_fz92ZmleuMHT7dOwZDrw%3D%3D,G06F01200000,G06F0012024600,710244000,2017-06-15,2019-05-07,2019-05-07,2015-12-14,2016-03-03,2036-04-15,2017-06-15,2017-06-15,"Kanno, Shinichi"
US20170220264,A1,"Zone forward drive management","Seagate Technology LLC",https://patentscout.innography.com/share/J2TvJ9fYITLt5UVJzBrs7g%3D%3D,G06F00306000,G06F0003061100,711004000,2017-08-03,2017-12-12,2017-08-03,2016-02-01,2016-02-01,2017-12-12,2017-08-03,2017-08-03,"Sokolov, Daniel J.|Weikal, Adam J.|Prabhakar, Monish S."
US9817761,B2,"Methods, systems, and computer readable media for optimization of host sequential reads or writes based on volume of data transfer","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/EMchEO5jrxwcDUZ0UXnlGg%3D%3D,G06F01202000,G06F0012086200,345543000,2013-07-11,2017-11-14,2017-11-14,2012-01-06,2012-01-06,2032-09-13,2013-07-11,2013-07-11,"Ben-shemesh, Koren|Nosovitsky, Yan"
US8539163,B1,"Speculative reads","Amazon Technologies, Inc.",https://patentscout.innography.com/share/spl0U3MqDu-hytnFmj3KPA%3D%3D,G06F00926000,G06F0012086200,711137000,,2013-09-17,2013-09-17,2010-12-17,2010-12-17,2031-10-03,2013-09-17,2013-09-17,"Maniscalco, Nicholas J|Certain, Tate Andrew|Marshall, Bradley E|Sivasubramanian, Swaminathan"
US20100332754,A1,"System and method for caching multimedia data","Corel Corporation",https://patentscout.innography.com/share/lA28rAf2izqyeZUjuFbqcg%3D%3D,G06F01208000,G06F0012080200,711118000,2010-12-30,2014-12-30,2010-12-30,2003-04-09,2010-08-31,2014-12-30,2004-10-14,2004-10-14,"Lai, Yung-hsiao|Hung, Andy Chao"
US8924643,B2,"System and method for caching multimedia data","Corel Corporation",https://patentscout.innography.com/share/gGZNrv94ToQuy8FGm2Nbrg%3D%3D,G06F01300000,G06F0012080200,711118000,2010-12-30,2014-12-30,2014-12-30,2003-04-09,2010-08-31,2022-12-30,2004-10-14,2004-10-14,"Lai, Yung-hsiao|Hung, Andy Chao"
US20230205422,A1,"Maximizing performance through traffic balancing","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/gB-XBn3xXEfZsEqUQ6Hp8A%3D%3D,G06F00306000,G06F0003061300,711004000,2023-06-29,2023-09-26,2023-06-29,2021-12-27,2021-12-27,2023-09-26,2023-06-29,2023-06-29,"Segev, Amir|Benisty, Shay"
US11768606,B2,"Maximizing performance through traffic balancing","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1NQMDZDzU5FvBosSKQ1-eQ%3D%3D,G06F01314000,G06F0003061300,711004000,2023-06-29,2023-09-26,2023-09-26,2021-12-27,2021-12-27,2042-04-18,2023-06-29,2023-06-29,"Segev, Amir|Benisty, Shay"
US20230259290,A1,"Out of order data transfer hint calibration","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/OenSmwMURpnw4ckKfLdZCg%3D%3D,G06F00306000,G06F0003062900,711004000,2023-08-17,2023-11-28,2023-08-17,2022-02-16,2022-02-16,2023-11-28,2023-08-17,2023-08-17,"Benisty, Shay"
US11829615,B2,"Out of order data transfer hint calibration","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/ycs0v-YPLaT_lMP4Q2IgZQ%3D%3D,G06F01200000,G06F0003062900,710244000,2023-08-17,2023-11-28,2023-11-28,2022-02-16,2022-02-16,2042-05-28,2023-08-17,2023-08-17,"Benisty, Shay"
CN102981971,B,"A phase change memory with rapid response loss equalization method","Chongqing University",https://patentscout.innography.com/share/iz826-213e5vbRXwFUlWFA%3D%3D,G06F01202000,G06F0012023800,345543000,2013-03-20,2016-06-08,2016-06-08,2012-12-25,2012-12-25,2032-12-24,2013-03-20,2013-03-20,"Liu, Duo|Sha, Xingmian|Zhuge, Qingfeng|Wang, Tianzheng|Shao, Zili|Tan, Yujuan|Liang, Liang"
CN105930098,B,"A centralized check disk array eliminate partial lowercase operating in parallel","Dezhou University",https://patentscout.innography.com/share/UZgl17vnmT87k9ivHtE7yQ%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2019-01-29,2015-05-20,2016-04-14,2036-04-13,2016-09-07,2016-09-07,"Sun, Zhizhuo|Sun, Zhizhuo|Sun, Zhizhuo|Hu, Kai|Hu, Kai|Hu, Kai|Liu, Lidong|Liu, Lidong|Liu, Lidong|Lv, Wenzhi|Lv, Wenzhi|Lv, Wenzhi|Tan, Yuan|Tan, Yuan|Tan, Yuan"
CN105930097,B,"A distributed check type disk array eliminate partial lowercase operating in parallel","Dezhou University",https://patentscout.innography.com/share/nP6KCvgmezy3qkGxPfZv7A%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2019-01-29,2015-05-20,2016-04-14,2036-04-13,2016-09-07,2016-09-07,"Sun, Zhizhuo|Sun, Zhizhuo|Sun, Zhizhuo|Guo, Changyou|Guo, Changyou|Guo, Changyou|Lv, Wenzhi|Lv, Wenzhi|Lv, Wenzhi|Yu, Ruiling|Yu, Ruiling|Yu, Ruiling|Tan, Yuan|Tan, Yuan|Tan, Yuan"
CN105930099,B,"A double-disk fault-tolerant disk array eliminate partial lowercase operating in parallel","Dezhou University",https://patentscout.innography.com/share/9fnGuXydigFlCT9K4I0DLw%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2019-01-29,2015-05-20,2016-04-14,2036-04-13,2016-09-07,2016-09-07,"Sun, Zhizhuo|Sun, Zhizhuo|Sun, Zhizhuo|Wang, Hongfeng|Wang, Hongfeng|Wang, Hongfeng|Yu, Ruiling|Yu, Ruiling|Yu, Ruiling|Liu, Lidong|Liu, Lidong|Liu, Lidong|Tan, Yuan|Tan, Yuan|Tan, Yuan"
CN111699477,A,"Accelerated data access via data stream isolation in a memory system","Micron Technology Inc.",https://patentscout.innography.com/share/HwhcKUcZKR_34UOCq_1BwA%3D%3D,G06F01316000,G06F0012087700,713340000,2020-09-22,,2020-09-22,2018-02-05,2019-01-18,2023-06-13,2019-08-08,2019-08-08,"Mittal, Samir|Anand, Gurpreet"
CN105930098,A,"A centralized check disk array eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/Jnl978S1ufnjtDBzQpEGSg%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Hu, Kai|Liu, Lidong|Lyu, Wenzhi|Tan, Yuan"
CN105930097,A,"A distributed check type disk array to eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/H09YtOoZlv5_0I10dddr8A%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Guo, Changyou|Lyu, Wenzhi|Yu, Ruiling|Tan, Yuan"
CN105930099,A,"A double-disk fault-tolerant disk array eliminate partial parallel in operation","Dezhou University",https://patentscout.innography.com/share/Ocwo1p8OhuQf09xlogUyKQ%3D%3D,G06F00306000,G06F0003062500,711004000,2016-09-07,2019-01-29,2016-09-07,2015-05-20,2016-04-14,2019-01-29,2016-09-07,2016-09-07,"Sun, Zhizhuo|Wang, Hongfeng|Yu, Ruiling|Liu, Lidong|Tan, Yuan"
CN106372001,A,"Memory system","Kabushiki Kaisha Toshiba",https://patentscout.innography.com/share/flDpR65Jss6KV7I0QOXN9g%3D%3D,G06F01202000,G06F0012024600,345543000,2017-02-01,2019-08-09,2017-02-01,2015-07-23,2015-12-07,2019-08-09,2017-01-25,2017-01-25,"Shinichi, Kanno"
CN108334458,A,"A last level cache memory efficient architecture","Intel Corp",https://patentscout.innography.com/share/OxLbgZurcJYylO4clwhPTg%3D%3D,G06F01208110,G06F0012081100,713340000,2018-07-27,2023-09-12,2018-07-27,2017-01-18,2018-01-18,2023-09-12,2018-07-19,2018-07-19,"Ayan, Mandal|Anant, Nori|Jayesh, Gaur|Sreenivas, Subramoney"
CN111506264,B,"Virtual multi-channel sdram access method supporting flexible partition access","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/M25YZ3nSLji8v5Zm7fXp9w%3D%3D,G06F00306000,G06F0003064000,711004000,2020-08-07,2021-07-06,2021-07-06,2020-04-10,2020-04-10,2040-04-09,2020-08-07,2020-08-07,"Yan, Luxin|Guo, Chaole|Chen, Liqun|Yan, Zhang|Wang, Zhenyu|Cui, Yubin|Zhong, Sheng"
CN103049222,A,"A raid5 write io optimization processing method","No.709 Research Institute Of China Shipbuilding Industry Corporation",https://patentscout.innography.com/share/Cf8BvbCugWVVHoEeRkLIvQ%3D%3D,G06F00306000,G06F0003060000,711004000,2013-04-17,2016-05-25,2013-04-17,2012-12-28,2012-12-28,2016-05-25,2013-04-17,2013-04-17,"Liu, Xiaofang|Fu, Caide|Zhou, Jun|Wan, Baolin"
CN103049222,B,"A raid5 write io optimization processing method","No.709 Research Institute Of China Shipbuilding Industry Corporation",https://patentscout.innography.com/share/_sg0Bj25x04QOplFpS35-w%3D%3D,G06F00306000,G06F0003060000,711004000,2013-04-17,2016-05-25,2016-05-25,2012-12-28,2012-12-28,2024-06-25,2013-04-17,2013-04-17,"Liu, Xiaofang|Fu, Caide|Zhou, Jun|Wan, Baolin"
CN119183557,A,"Efficient striping of sequential pcie write across multiple jack-to-jack links","Qualcomm Incorporated",https://patentscout.innography.com/share/R6Htl5HJ3ysqSG0CjOmbHQ%3D%3D,G06F01208150,G06F0012081500,713340000,2024-12-24,,2024-12-24,2022-05-20,2023-03-31,2043-03-31,2023-08-29,2023-08-29,"Getha, Vedaraman|Pfeldrey, Kevin R"
CN115480647,A,"Non-contact interactive system based on photoelectric sensor array","Shanghai University",https://patentscout.innography.com/share/xR16TDbmIgXublRs7pfdqQ%3D%3D,G06F00301000,G06F0003011000,715701000,2022-12-16,,2022-12-16,2022-10-18,2022-10-18,2042-10-18,2022-12-16,2022-12-16,"Wu, Jinbo|Shi, Bori|Wang, Pingyang|Xue, Chang|Zhang, Mengying|Wen, Weijia"
US9383931,B2,"Controlling the selectively setting of operational parameters for an adapter","International Business Machines Corporation",https://patentscout.innography.com/share/zmneuyChH7G2vNw-T8m4Cg%3D%3D,G06F01500000,G06F0003061900,358001180,2012-08-23,2016-07-05,2016-07-05,2010-06-23,2012-05-02,2024-07-05,2011-12-29,2011-12-29,"Craddock, David|Farrell, Mark S|Glendening, Beth A|Gregg, Thomas A|Greiner, Dan|Sittmann, Iii Gustav E|Szwed, Peter K"
CN112306899,B,"Dynamic memory address write strategy transition based on performance requirements","Micron Technology Inc.",https://patentscout.innography.com/share/m4mmEmh_8p2AjrujgBAKIA%3D%3D,G06F01202000,G06F0012024600,345543000,2021-02-02,2024-07-30,2024-07-30,2019-07-24,2020-06-16,2040-06-16,2021-01-28,2021-01-28,"Cariello, Giuseppe|Parry, Jonathan Scott"
CN111316220,A,"Performance counters for computer memory","Microsoft Technology Licensing LLC",https://patentscout.innography.com/share/H68Xghn_S36ECgzyAsGVNw%3D%3D,G06F00306000,G06F0012023000,711004000,2020-06-19,2023-07-14,2020-06-19,2017-11-09,2018-11-02,2023-07-14,2019-05-09,2019-05-09,"Bennett, John G|Tavallaei, Siamak"
US9626298,B2,"Translation of input/output addresses to memory addresses","International Business Machines Corporation",https://patentscout.innography.com/share/MExANXWoSw9ckIThYLCv3w%3D%3D,G06F01200000,G06F0012029200,710244000,2014-05-08,2017-04-18,2017-04-18,2010-06-23,2013-12-02,2030-10-22,2011-12-29,2011-12-29,"Craddock, David|Gregg, Thomas A|Greiner, Dan|Lais, Eric N"
US9134911,B2,"Store peripheral component interconnect (pci) function controls instruction","International Business Machines Corporation",https://patentscout.innography.com/share/c_60CsqwJHQ5Fs32UPfckw%3D%3D,G06F00930000,G06F0003061900,712021000,2014-04-10,2015-09-15,2015-09-15,2010-06-23,2013-12-11,2030-06-23,2011-12-29,2011-12-29,"Craddock, David|Farrell, Mark S|Glendening, Beth A|Gregg, Thomas A|Greiner, Dan F|Sittmann, Iii Gustav E|Szwed, Peter K"
